         26684135 function calls (26579068 primitive calls) in 110.696 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.011    0.011 GraphicsItem.py:1(<module>)
     4992    0.011    0.000    0.011    0.000 {built-in method translate}
    45000    0.011    0.000    0.011    0.000 {method 'pop' of 'dict' objects}
    10016    0.011    0.000    0.011    0.000 _internal.py:264(get_as_parameter)
        1    0.000    0.000    0.011    0.011 GraphicsScene.py:1(<module>)
     4928    0.009    0.000    0.011    0.000 weakref.py:429(pop)
    20088    0.011    0.000    0.011    0.000 {method 'keys' of 'dict' objects}
    10015    0.011    0.000    0.011    0.000 PlotDataItem.py:322(setClipToView)
       64    0.010    0.000    0.010    0.000 {built-in method setSizeAdjustPolicy}
       64    0.004    0.000    0.010    0.000 axisCtrlTemplate_pyqt.py:71(retranslateUi)
     5008    0.004    0.000    0.010    0.000 planning.py:393(__del__)
        1    0.001    0.001    0.010    0.010 catalog.py:32(<module>)
    10079    0.010    0.000    0.010    0.000 {value}
    10015    0.010    0.000    0.010    0.000 PlotDataItem.py:184(setFftMode)
      256    0.001    0.000    0.010    0.000 AxisItem.py:232(_adjustSize)
  512/448    0.002    0.000    0.010    0.000 {built-in method setMinimumWidth}
        1    0.001    0.001    0.010    0.010 __init__.py:93(renamePyc)
        2    0.000    0.000    0.009    0.005 subprocess.py:650(__init__)
     5008    0.008    0.000    0.009    0.000 planning.py:353(__set_shape)
        2    0.000    0.000    0.009    0.005 subprocess.py:1187(_execute_child)
        1    0.000    0.000    0.009    0.009 build_src.py:2(<module>)
     4968    0.009    0.000    0.009    0.000 ItemGroup.py:15(boundingRect)
        1    0.004    0.004    0.009    0.009 __init__.py:85(<module>)
      256    0.003    0.000    0.009    0.000 AxisItem.py:197(labelString)
    10558    0.008    0.000    0.008    0.000 {built-in method isVisible}
      324    0.001    0.000    0.008    0.000 sre_compile.py:178(_compile_charset)
    34673    0.008    0.000    0.008    0.000 {id}
      288    0.002    0.000    0.008    0.000 GraphicsView.py:213(updateMatrix)
      256    0.002    0.000    0.008    0.000 AxisItem.py:238(setHeight)
    15170    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
     5311    0.008    0.000    0.008    0.000 ViewBox.py:855(linkedView)
    10079    0.008    0.000    0.008    0.000 {built-in method setStyle}
        1    0.000    0.000    0.008    0.008 glob.py:18(glob)
    508/2    0.001    0.000    0.008    0.004 glob.py:29(iglob)
        1    0.000    0.000    0.008    0.008 exportDialog.py:1(<module>)
    10016    0.007    0.000    0.007    0.000 PlotCurveItem.py:83(setClickable)
